%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.450,82516.288,0.976,30.050,440.778,478.932,5.951,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,202.934,203.584,91.659,-206.623,-258.338,-293.576,-251.130,-314.028,334.732,-301.341,-287.850,-334.025,-171.175,-357.400,260.007,-323.757
294.450,82516.288,0.976,30.050,440.778,478.932,5.951,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,192.539,199.563,90.160,-210.069,-259.418,-293.991,-251.237,-308.782,338.199,-433.927,-375.608,-372.698,-191.775,-374.852,261.979,-324.095
294.243,82406.897,0.976,30.044,440.339,478.543,5.954,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,193.621,191.857,81.915,-232.412,-286.515,-314.338,-257.432,-301.394,333.501,-300.924,-300.402,-367.279,-206.518,-376.001,254.088,-360.806
294.601,82589.129,0.977,30.053,441.038,479.849,5.956,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,175.212,231.614,111.254,-184.384,-235.883,-267.104,-226.669,-290.473,336.745,-371.387,-325.506,-359.949,-164.274,-330.229,260.007,-310.694
294.259,82416.583,0.976,30.066,440.984,477.195,5.952,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,189.615,185.268,83.842,-222.285,-273.064,-306.449,-265.764,-331.801,335.179,-331.361,-302.828,-325.420,-166.260,-360.430,257.099,-336.595
294.467,82522.229,0.976,30.029,440.154,476.512,5.948,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,177.270,196.101,84.806,-213.201,-260.215,-288.489,-240.769,-289.938,337.639,-406.409,-359.575,-360.055,-178.390,-340.366,259.487,-323.645
294.454,82514.996,0.976,30.041,440.497,477.026,5.962,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,209.215,199.340,85.020,-225.208,-280.838,-313.508,-270.636,-332.658,335.291,-240.364,-324.662,-326.695,-194.598,-363.984,249.000,-364.748
294.242,82408.382,0.976,30.047,440.420,478.221,5.956,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,165.358,207.603,97.655,-200.881,-257.408,-295.237,-256.218,-314.778,334.061,-414.644,-311.055,-340.719,-150.366,-305.044,264.575,-290.649
294.591,82579.895,0.977,30.042,440.668,479.772,5.954,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,208.674,182.142,76.561,-229.593,-275.439,-298.767,-246.499,-298.183,334.401,-354.501,-305.570,-376.841,-188.847,-369.418,260.110,-310.919
294.252,82413.483,0.976,30.027,439.849,475.698,5.956,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,194.271,197.999,82.985,-221.867,-279.542,-314.234,-272.025,-335.014,333.283,-336.887,-293.862,-348.156,-177.135,-365.760,255.438,-324.658
294.467,82523.326,0.976,30.021,439.948,476.697,5.961,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,193.838,192.304,85.555,-216.229,-269.069,-302.919,-259.208,-312.316,337.421,-337.200,-339.380,-396.921,-161.450,-315.599,263.226,-289.073
294.449,82514.157,0.976,30.028,440.133,475.979,5.962,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,218.311,204.365,92.515,-208.920,-262.807,-299.597,-259.529,-319.596,333.618,-320.522,-309.323,-324.098,-178.599,-352.070,255.438,-349.432
294.241,82408.640,0.976,30.025,439.786,476.507,5.960,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,189.615,177.228,70.243,-240.243,-289.368,-317.868,-269.568,-327.733,335.743,-316.561,-309.429,-360.958,-185.579,-385.093,256.476,-377.135
294.603,82590.873,0.977,30.010,439.771,476.346,5.961,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,161.676,202.466,86.947,-217.691,-275.871,-315.584,-264.869,-302.680,346.256,-378.581,-348.345,-386.771,-303.931,-489.183,231.867,-453.710
294.263,82423.686,0.976,30.029,439.932,475.623,5.966,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,123.558,245.908,126.352,-165.069,-221.669,-259.111,-215.206,-255.998,341.894,-357.317,-410.990,-461.980,-226.040,-368.063,248.588,-321.617
294.472,82521.131,0.976,30.017,439.806,477.884,5.959,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,174.887,201.573,92.194,-219.779,-277.815,-312.885,-275.549,-348.611,335.072,-292.379,-284.223,-354.797,-184.533,-362.942,255.545,-339.864
