%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.538,82585.255,0.977,29.849,435.139,482.371,5.848,0.000,0.000,-2074.149,3895.287,-104.296,-0.036,0.038,-786.808,-1450.780,-984.866,-1043.628,-882.995,-680.063,-499.833,-376.770,350.502,12.424,57.157,54.371,176.741,114.198,389.907,295.107
294.538,82585.255,0.977,29.849,435.139,482.371,5.848,0.000,0.000,-2074.149,3895.287,-104.296,-0.036,0.038,-803.330,-1470.923,-1009.212,-1079.374,-920.634,-701.227,-520.660,-398.077,345.805,1.462,47.754,47.880,176.741,121.211,390.738,312.705
294.174,82398.502,0.976,29.871,435.316,480.538,5.852,0.000,0.000,-2074.149,3888.929,-104.296,-0.038,0.039,-798.902,-1469.922,-1002.647,-1061.449,-893.349,-682.139,-499.513,-369.704,350.502,24.221,66.983,68.629,190.143,139.319,394.995,325.678
294.439,82534.498,0.976,29.864,435.435,481.782,5.844,0.000,0.000,-2074.149,3902.916,-104.296,-0.036,0.038,-788.968,-1452.782,-991.010,-1042.898,-893.025,-677.571,-500.261,-376.235,352.179,8.770,50.184,48.732,174.647,114.093,391.361,303.568
294.337,82482.127,0.976,29.851,434.948,482.341,5.847,0.000,0.000,-2074.149,3898.382,-104.296,-0.036,0.039,-803.654,-1468.586,-1008.626,-1068.221,-907.477,-690.133,-517.456,-387.263,347.147,7.621,50.607,50.009,177.369,123.095,390.842,314.961
294.197,82412.902,0.976,29.876,435.505,483.982,5.851,0.000,0.000,-2074.149,3901.666,-104.296,-0.038,0.039,-795.987,-1462.687,-995.067,-1054.778,-887.309,-679.959,-495.882,-365.207,349.272,24.326,65.081,64.266,184.698,130.003,392.088,314.961
294.665,82543.474,0.976,29.863,435.133,479.870,5.842,0.000,0.000,-2074.149,3894.480,-104.296,-0.036,0.038,-794.043,-1457.011,-997.202,-1045.816,-902.408,-684.007,-505.892,-383.408,348.377,8.979,52.297,50.966,175.903,117.756,390.323,305.485
294.537,82338.963,0.974,29.900,435.333,482.829,5.848,0.000,0.000,-2074.149,3881.396,104.223,-0.037,0.039,-797.067,-1464.802,-1002.967,-1068.221,-903.271,-687.745,-512.301,-385.120,348.041,8.874,55.150,56.605,181.557,127.282,391.257,313.608
294.813,82484.581,0.975,29.888,435.326,484.652,5.834,0.000,0.000,-2074.149,3887.518,104.223,-0.037,0.038,-793.503,-1458.792,-994.106,-1051.026,-875.769,-672.900,-495.210,-366.597,349.555,17.018,58.848,58.840,182.604,127.386,392.192,312.931
294.711,82436.085,0.974,29.877,434.896,480.671,5.841,0.000,0.000,-2074.149,3884.626,19.962,-0.037,0.039,-790.804,-1457.011,-1000.192,-1059.676,-901.653,-686.707,-504.717,-385.334,347.206,5.220,49.233,48.519,175.275,117.442,391.153,309.546
294.427,82394.111,0.975,29.885,435.326,481.811,5.844,0.000,0.000,-2074.149,3890.624,-104.296,-0.037,0.039,-791.776,-1458.347,-997.202,-1060.301,-890.545,-681.516,-500.123,-373.450,350.450,16.809,60.222,59.478,182.290,127.700,391.153,311.239
294.524,82582.284,0.977,29.852,435.231,482.743,5.841,0.000,0.000,-2074.149,3883.171,104.223,-0.036,0.038,-791.991,-1458.903,-995.281,-1053.840,-899.604,-684.215,-503.221,-378.053,348.660,10.231,54.939,53.741,179.358,123.095,391.049,309.208
294.165,82398.825,0.976,29.861,435.046,481.757,5.853,0.000,0.000,-2074.149,3874.597,43.220,-0.037,0.039,-793.503,-1462.465,-1000.832,-1063.428,-901.653,-686.291,-505.999,-384.585,348.548,9.918,53.460,52.358,178.522,123.409,391.776,313.156
294.437,82534.369,0.977,29.845,434.906,480.908,5.848,0.000,0.000,-2074.149,3869.104,-104.296,-0.036,0.038,-792.747,-1458.458,-995.708,-1055.924,-896.476,-683.696,-501.085,-381.587,348.996,12.946,55.890,53.209,176.428,118.804,390.842,308.757
294.344,82489.812,0.976,29.842,434.712,478.872,5.854,0.000,0.000,-2074.149,3872.549,-38.102,-0.036,0.039,-794.259,-1461.240,-997.523,-1059.468,-894.643,-685.876,-503.542,-380.730,348.437,14.199,57.792,56.295,179.779,123.410,391.157,312.254
294.210,82415.873,0.976,29.862,435.095,481.118,5.855,0.000,0.000,-2074.149,3879.082,51.962,-0.037,0.039,-791.020,-1459.794,-998.697,-1064.887,-891.515,-683.488,-505.037,-380.944,348.325,10.962,53.777,51.826,177.894,120.793,390.845,308.984
294.528,82577.893,0.977,29.847,435.058,482.301,5.848,0.000,0.000,-2074.149,3894.698,7.073,-0.037,0.038,-797.067,-1463.466,-999.658,-1064.574,-897.016,-687.641,-508.455,-385.869,348.437,12.633,58.742,57.785,181.454,126.026,391.053,312.481
294.182,82405.153,0.976,29.836,434.343,480.431,5.854,0.000,0.000,-2074.149,3882.513,-52.570,-0.037,0.039,-794.907,-1460.461,-995.814,-1048.942,-888.064,-680.893,-496.705,-373.985,348.101,14.512,56.841,57.040,180.407,124.142,390.949,310.112
294.468,82544.378,0.977,29.840,434.760,479.870,5.857,0.000,0.000,-2074.149,3883.023,-4.220,-0.037,0.038,-796.311,-1459.682,-997.629,-1066.554,-895.398,-687.537,-507.601,-384.049,345.864,6.577,51.875,51.719,177.999,121.107,390.949,309.661
294.370,82501.823,0.976,29.852,435.017,481.788,5.855,0.000,0.000,-2074.149,3882.749,-50.960,-0.037,0.038,-797.283,-1460.127,-994.320,-1058.738,-887.094,-680.270,-503.648,-376.126,349.108,17.957,62.335,63.106,186.270,132.097,391.364,314.625
